date_pk,date_id,date,day,month,quarter,year,day_of_week,the_day,the_month
40,19700119,1970-01-19,19,1,Q1,1970,1,Monday,January
41,19701209,1970-12-09,9,12,Q4,1970,3,Wednesday,December
42,19700603,1970-06-03,3,6,Q2,1970,3,Wednesday,June
43,19700819,1970-08-19,19,8,Q3,1970,3,Wednesday,August
44,19700302,1970-03-02,2,3,Q1,1970,1,Monday,March
45,19700304,1970-03-04,4,3,Q1,1970,3,Wednesday,March
46,19700212,1970-02-12,12,2,Q1,1970,4,Thursday,February
47,19700220,1970-02-20,20,2,Q1,1970,5,Friday,February
48,19700329,1970-03-29,29,3,Q1,1970,7,Sunday,March
49,19700713,1970-07-13,13,7,Q3,1970,1,Monday,July
50,19700719,1970-07-19,19,7,Q3,1970,7,Sunday,July
51,19701008,1970-10-08,8,10,Q4,1970,4,Thursday,October
52,19701015,1970-10-15,15,10,Q4,1970,4,Thursday,October
53,19700901,1970-09-01,1,9,Q3,1970,2,Tuesday,September
54,19700213,1970-02-13,13,2,Q1,1970,5,Friday,February
55,19700309,1970-03-09,9,3,Q1,1970,1,Monday,March
56,19700320,1970-03-20,20,3,Q1,1970,5,Friday,March
57,19700503,1970-05-03,3,5,Q2,1970,7,Sunday,May
58,19700417,1970-04-17,17,4,Q2,1970,5,Friday,April
59,19700403,1970-04-03,3,4,Q2,1970,5,Friday,April
60,19700522,1970-05-22,22,5,Q2,1970,5,Friday,May
61,19700507,1970-05-07,7,5,Q2,1970,4,Thursday,May
62,19700612,1970-06-12,12,6,Q2,1970,5,Friday,June
63,19700405,1970-04-05,5,4,Q2,1970,7,Sunday,April
64,19700614,1970-06-14,14,6,Q2,1970,7,Sunday,June
65,19700322,1970-03-22,22,3,Q1,1970,7,Sunday,March
66,19700508,1970-05-08,8,5,Q2,1970,5,Friday,May
67,19700606,1970-06-06,6,6,Q2,1970,6,Saturday,June
68,19700613,1970-06-13,13,6,Q2,1970,6,Saturday,June
69,19700404,1970-04-04,4,4,Q2,1970,6,Saturday,April
70,19700411,1970-04-11,11,4,Q2,1970,6,Saturday,April
71,19700814,1970-08-14,14,8,Q3,1970,5,Friday,August
72,19700716,1970-07-16,16,7,Q3,1970,4,Thursday,July
73,19700801,1970-08-01,1,8,Q3,1970,6,Saturday,August
74,19700714,1970-07-14,14,7,Q3,1970,2,Tuesday,July
75,19700829,1970-08-29,29,8,Q3,1970,6,Saturday,August
76,19700314,1970-03-14,14,3,Q1,1970,6,Saturday,March
77,19700328,1970-03-28,28,3,Q1,1970,6,Saturday,March
78,19700410,1970-04-10,10,4,Q2,1970,5,Friday,April
79,19700611,1970-06-11,11,6,Q2,1970,4,Thursday,June
80,19701112,1970-11-12,12,11,Q4,1970,4,Thursday,November
81,19700128,1970-01-28,28,1,Q1,1970,3,Wednesday,January
82,19700325,1970-03-25,25,3,Q1,1970,3,Wednesday,March
83,19700209,1970-02-09,9,2,Q1,1970,1,Monday,February
84,19700126,1970-01-26,26,1,Q1,1970,1,Monday,January
85,19701007,1970-10-07,7,10,Q4,1970,3,Wednesday,October
86,19700110,1970-01-10,10,1,Q1,1970,6,Saturday,January
87,19701219,1970-12-19,19,12,Q4,1970,6,Saturday,December
88,19700511,1970-05-11,11,5,Q2,1970,1,Monday,May
89,19700323,1970-03-23,23,3,Q1,1970,1,Monday,March
90,19701226,1970-12-26,26,12,Q4,1970,6,Saturday,December
91,19700104,1970-01-04,4,1,Q1,1970,7,Sunday,January
92,19700826,1970-08-26,26,8,Q3,1970,3,Wednesday,August
93,19700803,1970-08-03,3,8,Q3,1970,1,Monday,August
94,19700601,1970-06-01,1,6,Q2,1970,1,Monday,June
95,19700215,1970-02-15,15,2,Q1,1970,7,Sunday,February
96,19710515,1971-05-15,15,5,Q2,1971,6,Saturday,May
97,19710503,1971-05-03,3,5,Q2,1971,1,Monday,May
98,19710705,1971-07-05,5,7,Q3,1971,1,Monday,July
99,19710822,1971-08-22,22,8,Q3,1971,7,Sunday,August
100,19710127,1971-01-27,27,1,Q1,1971,3,Wednesday,January
101,19710801,1971-08-01,1,8,Q3,1971,7,Sunday,August
102,19710414,1971-04-14,14,4,Q2,1971,3,Wednesday,April
103,19711010,1971-10-10,10,10,Q4,1971,7,Sunday,October
104,19710614,1971-06-14,14,6,Q2,1971,1,Monday,June
105,19710710,1971-07-10,10,7,Q3,1971,6,Saturday,July
106,19710724,1971-07-24,24,7,Q3,1971,6,Saturday,July
107,19710214,1971-02-14,14,2,Q1,1971,7,Sunday,February
108,19710407,1971-04-07,7,4,Q2,1971,3,Wednesday,April
109,19710425,1971-04-25,25,4,Q2,1971,7,Sunday,April
110,19710301,1971-03-01,1,3,Q1,1971,1,Monday,March
111,19710329,1971-03-29,29,3,Q1,1971,1,Monday,March
112,19710322,1971-03-22,22,3,Q1,1971,1,Monday,March
113,19710307,1971-03-07,7,3,Q1,1971,7,Sunday,March
114,19711201,1971-12-01,1,12,Q4,1971,3,Wednesday,December
115,19711114,1971-11-14,14,11,Q4,1971,7,Sunday,November
116,19710607,1971-06-07,7,6,Q2,1971,1,Monday,June
117,19710803,1971-08-03,3,8,Q3,1971,2,Tuesday,August
118,19710719,1971-07-19,19,7,Q3,1971,1,Monday,July
119,19710418,1971-04-18,18,4,Q2,1971,7,Sunday,April
120,19711017,1971-10-17,17,10,Q4,1971,7,Sunday,October
121,19710321,1971-03-21,21,3,Q1,1971,7,Sunday,March
122,19710522,1971-05-22,22,5,Q2,1971,6,Saturday,May
123,19711108,1971-11-08,8,11,Q4,1971,1,Monday,November
124,19710221,1971-02-21,21,2,Q1,1971,7,Sunday,February
125,19710501,1971-05-01,1,5,Q2,1971,6,Saturday,May
126,19710421,1971-04-21,21,4,Q2,1971,3,Wednesday,April
127,19710123,1971-01-23,23,1,Q1,1971,6,Saturday,January
128,19710209,1971-02-09,9,2,Q1,1971,2,Tuesday,February
129,19710420,1971-04-20,20,4,Q2,1971,2,Tuesday,April
130,19710405,1971-04-05,5,4,Q2,1971,1,Monday,April
131,19710517,1971-05-17,17,5,Q2,1971,1,Monday,May
132,19710808,1971-08-08,8,8,Q3,1971,7,Sunday,August
133,19710717,1971-07-17,17,7,Q3,1971,6,Saturday,July
134,19710810,1971-08-10,10,8,Q3,1971,2,Tuesday,August
135,19710802,1971-08-02,2,8,Q3,1971,1,Monday,August
136,19710920,1971-09-20,20,9,Q3,1971,1,Monday,September
137,19710927,1971-09-27,27,9,Q3,1971,1,Monday,September
138,19711018,1971-10-18,18,10,Q4,1971,1,Monday,October
139,19711101,1971-11-01,1,11,Q4,1971,1,Monday,November
140,19710521,1971-05-21,21,5,Q2,1971,5,Friday,May
141,19710621,1971-06-21,21,6,Q2,1971,1,Monday,June
142,19710901,1971-09-01,1,9,Q3,1971,3,Wednesday,September
143,19711204,1971-12-04,4,12,Q4,1971,6,Saturday,December
144,19711118,1971-11-18,18,11,Q4,1971,4,Thursday,November
145,19710330,1971-03-30,30,3,Q1,1971,2,Tuesday,March
146,19710404,1971-04-04,4,4,Q2,1971,7,Sunday,April
147,19710924,1971-09-24,24,9,Q3,1971,5,Friday,September
148,19710110,1971-01-10,10,1,Q1,1971,7,Sunday,January
149,19710809,1971-08-09,9,8,Q3,1971,1,Monday,August
150,19710827,1971-08-27,27,8,Q3,1971,5,Friday,August
151,19710207,1971-02-07,7,2,Q1,1971,7,Sunday,February
152,19710428,1971-04-28,28,4,Q2,1971,3,Wednesday,April
153,19711213,1971-12-13,13,12,Q4,1971,1,Monday,December
154,19710424,1971-04-24,24,4,Q2,1971,6,Saturday,April
155,19710324,1971-03-24,24,3,Q1,1971,3,Wednesday,March
156,19710430,1971-04-30,30,4,Q2,1971,5,Friday,April
157,19710524,1971-05-24,24,5,Q2,1971,1,Monday,May
158,19710409,1971-04-09,9,4,Q2,1971,5,Friday,April
159,19710320,1971-03-20,20,3,Q1,1971,6,Saturday,March
160,19710327,1971-03-27,27,3,Q1,1971,6,Saturday,March
161,19710403,1971-04-03,3,4,Q2,1971,6,Saturday,April
162,19710423,1971-04-23,23,4,Q2,1971,5,Friday,April
163,19710514,1971-05-14,14,5,Q2,1971,5,Friday,May
164,19710422,1971-04-22,22,4,Q2,1971,4,Thursday,April
165,19710416,1971-04-16,16,4,Q2,1971,5,Friday,April
166,19710821,1971-08-21,21,8,Q3,1971,6,Saturday,August
167,19710528,1971-05-28,28,5,Q2,1971,5,Friday,May
168,19710507,1971-05-07,7,5,Q2,1971,5,Friday,May
169,19710319,1971-03-19,19,3,Q1,1971,5,Friday,March
170,19710326,1971-03-26,26,3,Q1,1971,5,Friday,March
171,19710611,1971-06-11,11,6,Q2,1971,5,Friday,June
172,19710716,1971-07-16,16,7,Q3,1971,5,Friday,July
173,19710610,1971-06-10,10,6,Q2,1971,4,Thursday,June
174,19710402,1971-04-02,2,4,Q2,1971,5,Friday,April
175,19710506,1971-05-06,6,5,Q2,1971,4,Thursday,May
176,19710508,1971-05-08,8,5,Q2,1971,6,Saturday,May
177,19710604,1971-06-04,4,6,Q2,1971,5,Friday,June
178,19710513,1971-05-13,13,5,Q2,1971,4,Thursday,May
179,19711008,1971-10-08,8,10,Q4,1971,5,Friday,October
180,19710531,1971-05-31,31,5,Q2,1971,1,Monday,May
181,19710328,1971-03-28,28,3,Q1,1971,7,Sunday,March
182,19710204,1971-02-04,4,2,Q1,1971,4,Thursday,February
183,19711206,1971-12-06,6,12,Q4,1971,1,Monday,December
184,19710118,1971-01-18,18,1,Q1,1971,1,Monday,January
185,19721118,1972-11-18,18,11,Q4,1972,6,Saturday,November
186,19720121,1972-01-21,21,1,Q1,1972,5,Friday,January
187,19720416,1972-04-16,16,4,Q2,1972,7,Sunday,April
188,19720710,1972-07-10,10,7,Q3,1972,1,Monday,July
189,19720827,1972-08-27,27,8,Q3,1972,7,Sunday,August
190,19720201,1972-02-01,1,2,Q1,1972,2,Tuesday,February
191,19720917,1972-09-17,17,9,Q3,1972,7,Sunday,September
192,19730116,1973-01-16,16,1,Q1,1973,2,Tuesday,January
193,19721022,1972-10-22,22,10,Q4,1972,7,Sunday,October
194,19720623,1972-06-23,23,6,Q2,1972,5,Friday,June
195,19720730,1972-07-30,30,7,Q3,1972,7,Sunday,July
196,19721001,1972-10-01,1,10,Q4,1972,7,Sunday,October
197,19721029,1972-10-29,29,10,Q4,1972,7,Sunday,October
198,19721126,1972-11-26,26,11,Q4,1972,7,Sunday,November
199,19720214,1972-02-14,14,2,Q1,1972,1,Monday,February
200,19720228,1972-02-28,28,2,Q1,1972,1,Monday,February
201,19720206,1972-02-06,6,2,Q1,1972,7,Sunday,February
202,19720122,1972-01-22,22,1,Q1,1972,6,Saturday,January
203,19720328,1972-03-28,28,3,Q1,1972,2,Tuesday,March
204,19721202,1972-12-02,2,12,Q4,1972,6,Saturday,December
205,19720220,1972-02-20,20,2,Q1,1972,7,Sunday,February
206,19721201,1972-12-01,1,12,Q4,1972,5,Friday,December
207,19720624,1972-06-24,24,6,Q2,1972,6,Saturday,June
208,19720617,1972-06-17,17,6,Q2,1972,6,Saturday,June
209,19720716,1972-07-16,16,7,Q3,1972,7,Sunday,July
210,19720722,1972-07-22,22,7,Q3,1972,6,Saturday,July
211,19720813,1972-08-13,13,8,Q3,1972,7,Sunday,August
212,19721203,1972-12-03,3,12,Q4,1972,7,Sunday,December
213,19720103,1972-01-03,3,1,Q1,1972,1,Monday,January
214,19720723,1972-07-23,23,7,Q3,1972,7,Sunday,July
215,19720317,1972-03-17,17,3,Q1,1972,5,Friday,March
216,19720513,1972-05-13,13,5,Q2,1972,6,Saturday,May
217,19720430,1972-04-30,30,4,Q2,1972,7,Sunday,April
218,19720208,1972-02-08,8,2,Q1,1972,2,Tuesday,February
219,19720409,1972-04-09,9,4,Q2,1972,7,Sunday,April
220,19720514,1972-05-14,14,5,Q2,1972,7,Sunday,May
221,19721113,1972-11-13,13,11,Q4,1972,1,Monday,November
222,19720327,1972-03-27,27,3,Q1,1972,1,Monday,March
223,19720501,1972-05-01,1,5,Q2,1972,1,Monday,May
224,19720605,1972-06-05,5,6,Q2,1972,1,Monday,June
225,19720424,1972-04-24,24,4,Q2,1972,1,Monday,April
226,19720706,1972-07-06,6,7,Q3,1972,4,Thursday,July
227,19720712,1972-07-12,12,7,Q3,1972,3,Wednesday,July
228,19720807,1972-08-07,7,8,Q3,1972,1,Monday,August
229,19720814,1972-08-14,14,8,Q3,1972,1,Monday,August
230,19720731,1972-07-31,31,7,Q3,1972,1,Monday,July
231,19720918,1972-09-18,18,9,Q3,1972,1,Monday,September
232,19720925,1972-09-25,25,9,Q3,1972,1,Monday,September
233,19721023,1972-10-23,23,10,Q4,1972,1,Monday,October
234,19721104,1972-11-04,4,11,Q4,1972,6,Saturday,November
235,19720423,1972-04-23,23,4,Q2,1972,7,Sunday,April
236,19721105,1972-11-05,5,11,Q4,1972,7,Sunday,November
237,19720522,1972-05-22,22,5,Q2,1972,1,Monday,May
238,19720626,1972-06-26,26,6,Q2,1972,1,Monday,June
239,19720830,1972-08-30,30,8,Q3,1972,3,Wednesday,August
240,19711226,1971-12-26,26,12,Q4,1971,7,Sunday,December
241,19721128,1972-11-28,28,11,Q4,1972,2,Tuesday,November
242,19720510,1972-05-10,10,5,Q2,1972,3,Wednesday,May
243,19720417,1972-04-17,17,4,Q2,1972,1,Monday,April
244,19720701,1972-07-01,1,7,Q3,1972,6,Saturday,July
245,19720820,1972-08-20,20,8,Q3,1972,7,Sunday,August
246,19720305,1972-03-05,5,3,Q1,1972,7,Sunday,March
247,19720725,1972-07-25,25,7,Q3,1972,2,Tuesday,July
248,19720729,1972-07-29,29,7,Q3,1972,6,Saturday,July
249,19721006,1972-10-06,6,10,Q4,1972,5,Friday,October
250,19720709,1972-07-09,9,7,Q3,1972,7,Sunday,July
251,19720901,1972-09-01,1,9,Q3,1972,5,Friday,September
252,19720306,1972-03-06,6,3,Q1,1972,1,Monday,March
253,19720116,1972-01-16,16,1,Q1,1972,7,Sunday,January
254,19720321,1972-03-21,21,3,Q1,1972,2,Tuesday,March
255,19721030,1972-10-30,30,10,Q4,1972,1,Monday,October
256,19720109,1972-01-09,9,1,Q1,1972,7,Sunday,January
257,19720316,1972-03-16,16,3,Q1,1972,4,Thursday,March
258,19721005,1972-10-05,5,10,Q4,1972,4,Thursday,October
259,19721213,1972-12-13,13,12,Q4,1972,3,Wednesday,December
260,19720309,1972-03-09,9,3,Q1,1972,4,Thursday,March
261,19721204,1972-12-04,4,12,Q4,1972,1,Monday,December
262,19720329,1972-03-29,29,3,Q1,1972,3,Wednesday,March
263,19720505,1972-05-05,5,5,Q2,1972,5,Friday,May
264,19720408,1972-04-08,8,4,Q2,1972,6,Saturday,April
265,19720516,1972-05-16,16,5,Q2,1972,2,Tuesday,May
266,19720428,1972-04-28,28,4,Q2,1972,5,Friday,April
267,19720414,1972-04-14,14,4,Q2,1972,5,Friday,April
268,19720804,1972-08-04,4,8,Q3,1972,5,Friday,August
269,19720421,1972-04-21,21,4,Q2,1972,5,Friday,April
270,19720324,1972-03-24,24,3,Q1,1972,5,Friday,March
271,19720512,1972-05-12,12,5,Q2,1972,5,Friday,May
272,19720320,1972-03-20,20,3,Q1,1972,1,Monday,March
273,19720721,1972-07-21,21,7,Q3,1972,5,Friday,July
274,19720519,1972-05-19,19,5,Q2,1972,5,Friday,May
275,19720511,1972-05-11,11,5,Q2,1972,4,Thursday,May
276,19720614,1972-06-14,14,6,Q2,1972,3,Wednesday,June
277,19720520,1972-05-20,20,5,Q2,1972,6,Saturday,May
278,19720616,1972-06-16,16,6,Q2,1972,5,Friday,June
279,19720401,1972-04-01,1,4,Q2,1972,6,Saturday,April
280,19720518,1972-05-18,18,5,Q2,1972,4,Thursday,May
281,19721110,1972-11-10,10,11,Q4,1972,5,Friday,November
282,19720609,1972-06-09,9,6,Q2,1972,5,Friday,June
283,19720504,1972-05-04,4,5,Q2,1972,4,Thursday,May
284,19721013,1972-10-13,13,10,Q4,1972,5,Friday,October
285,19721211,1972-12-11,11,12,Q4,1972,1,Monday,December
286,19720612,1972-06-12,12,6,Q2,1972,1,Monday,June
287,19720117,1972-01-17,17,1,Q1,1972,1,Monday,January
288,19720801,1972-08-01,1,8,Q3,1972,2,Tuesday,August
289,19731117,1973-11-17,17,11,Q4,1973,6,Saturday,November
290,19730119,1973-01-19,19,1,Q1,1973,5,Friday,January
291,19730423,1973-04-23,23,4,Q2,1973,1,Monday,April
292,19730709,1973-07-09,9,7,Q3,1973,1,Monday,July
293,19730819,1973-08-19,19,8,Q3,1973,7,Sunday,August
294,19731118,1973-11-18,18,11,Q4,1973,7,Sunday,November
295,19730124,1973-01-24,24,1,Q1,1973,3,Wednesday,January
296,19730309,1973-03-09,9,3,Q1,1973,5,Friday,March
297,19730212,1973-02-12,12,2,Q1,1973,1,Monday,February
298,19730207,1973-02-07,7,2,Q1,1973,3,Wednesday,February
299,19730916,1973-09-16,16,9,Q3,1973,7,Sunday,September
300,19731007,1973-10-07,7,10,Q4,1973,7,Sunday,October
301,19731021,1973-10-21,21,10,Q4,1973,7,Sunday,October
302,19731104,1973-11-04,4,11,Q4,1973,7,Sunday,November
303,19730401,1973-04-01,1,4,Q2,1973,7,Sunday,April
304,19730623,1973-06-23,23,6,Q2,1973,6,Saturday,June
305,19730812,1973-08-12,12,8,Q3,1973,7,Sunday,August
306,19730204,1973-02-04,4,2,Q1,1973,7,Sunday,February
307,19730414,1973-04-14,14,4,Q2,1973,6,Saturday,April
308,19730118,1973-01-18,18,1,Q1,1973,4,Thursday,January
309,19730604,1973-06-04,4,6,Q2,1973,1,Monday,June
310,19730402,1973-04-02,2,4,Q2,1973,1,Monday,April
311,19730108,1973-01-08,8,1,Q1,1973,1,Monday,January
312,19730211,1973-02-11,11,2,Q1,1973,7,Sunday,February
313,19731125,1973-11-25,25,11,Q4,1973,7,Sunday,November
314,19730415,1973-04-15,15,4,Q2,1973,7,Sunday,April
315,19730723,1973-07-23,23,7,Q3,1973,1,Monday,July
316,19730430,1973-04-30,30,4,Q2,1973,1,Monday,April
317,19730617,1973-06-17,17,6,Q2,1973,7,Sunday,June
318,19730716,1973-07-16,16,7,Q3,1973,1,Monday,July
319,19730409,1973-04-09,9,4,Q2,1973,1,Monday,April
320,19731008,1973-10-08,8,10,Q4,1973,1,Monday,October
321,19730219,1973-02-19,19,2,Q1,1973,1,Monday,February
322,19731029,1973-10-29,29,10,Q4,1973,1,Monday,October
323,19730101,1973-01-01,1,1,Q1,1973,1,Monday,January
324,19730805,1973-08-05,5,8,Q3,1973,7,Sunday,August
325,19730506,1973-05-06,6,5,Q2,1973,7,Sunday,May
326,19730611,1973-06-11,11,6,Q2,1973,1,Monday,June
327,19731028,1973-10-28,28,10,Q4,1973,7,Sunday,October
328,19730206,1973-02-06,6,2,Q1,1973,2,Tuesday,February
329,19730129,1973-01-29,29,1,Q1,1973,1,Monday,January
330,19730930,1973-09-30,30,9,Q3,1973,7,Sunday,September
331,19730319,1973-03-19,19,3,Q1,1973,1,Monday,March
332,19730514,1973-05-14,14,5,Q2,1973,1,Monday,May
333,19730602,1973-06-02,2,6,Q2,1973,6,Saturday,June
334,19730813,1973-08-13,13,8,Q3,1973,1,Monday,August
335,19730820,1973-08-20,20,8,Q3,1973,1,Monday,August
336,19730806,1973-08-06,6,8,Q3,1973,1,Monday,August
337,19730917,1973-09-17,17,9,Q3,1973,1,Monday,September
338,19730924,1973-09-24,24,9,Q3,1973,1,Monday,September
339,19731127,1973-11-27,27,11,Q4,1973,2,Tuesday,November
340,19731111,1973-11-11,11,11,Q4,1973,7,Sunday,November
341,19730416,1973-04-16,16,4,Q2,1973,1,Monday,April
342,19730521,1973-05-21,21,5,Q2,1973,1,Monday,May
343,19730625,1973-06-25,25,6,Q2,1973,1,Monday,June
344,19730829,1973-08-29,29,8,Q3,1973,3,Wednesday,August
345,19721226,1972-12-26,26,12,Q4,1972,2,Tuesday,December
346,19731204,1973-12-04,4,12,Q4,1973,2,Tuesday,December
347,19730509,1973-05-09,9,5,Q2,1973,3,Wednesday,May
348,19730117,1973-01-17,17,1,Q1,1973,3,Wednesday,January
349,19730326,1973-03-26,26,3,Q1,1973,1,Monday,March
350,19730322,1973-03-22,22,3,Q1,1973,4,Thursday,March
351,19730303,1973-03-03,3,3,Q1,1973,6,Saturday,March
352,19730115,1973-01-15,15,1,Q1,1973,1,Monday,January
353,19730312,1973-03-12,12,3,Q1,1973,1,Monday,March
354,19730122,1973-01-22,22,1,Q1,1973,1,Monday,January
355,19730103,1973-01-03,3,1,Q1,1973,3,Wednesday,January
356,19730226,1973-02-26,26,2,Q1,1973,1,Monday,February
357,19731212,1973-12-12,12,12,Q4,1973,3,Wednesday,December
358,19730919,1973-09-19,19,9,Q3,1973,3,Wednesday,September
359,19730504,1973-05-04,4,5,Q2,1973,5,Friday,May
360,19730323,1973-03-23,23,3,Q1,1973,5,Friday,March
361,19730223,1973-02-23,23,2,Q1,1973,5,Friday,February
362,19730413,1973-04-13,13,4,Q2,1973,5,Friday,April
363,19730420,1973-04-20,20,4,Q2,1973,5,Friday,April
364,19731116,1973-11-16,16,11,Q4,1973,5,Friday,November
365,19731130,1973-11-30,30,11,Q4,1973,5,Friday,November
366,19731214,1973-12-14,14,12,Q4,1973,5,Friday,December
367,19730518,1973-05-18,18,5,Q2,1973,5,Friday,May
368,19731019,1973-10-19,19,10,Q4,1973,5,Friday,October
369,19731123,1973-11-23,23,11,Q4,1973,5,Friday,November
370,19730803,1973-08-03,3,8,Q3,1973,5,Friday,August
371,19731207,1973-12-07,7,12,Q4,1973,5,Friday,December
372,19731005,1973-10-05,5,10,Q4,1973,5,Friday,October
373,19730720,1973-07-20,20,7,Q3,1973,5,Friday,July
374,19730427,1973-04-27,27,4,Q2,1973,5,Friday,April
375,19730503,1973-05-03,3,5,Q2,1973,4,Thursday,May
376,19731228,1973-12-28,28,12,Q4,1973,5,Friday,December
377,19731217,1973-12-17,17,12,Q4,1973,1,Monday,December
378,19730511,1973-05-11,11,5,Q2,1973,5,Friday,May
379,19730406,1973-04-06,6,4,Q2,1973,5,Friday,April
380,19730817,1973-08-17,17,8,Q3,1973,5,Friday,August
381,19730302,1973-03-02,2,3,Q1,1973,5,Friday,March
382,19730305,1973-03-05,5,3,Q1,1973,1,Monday,March
383,19731119,1973-11-19,19,11,Q4,1973,1,Monday,November
384,19730910,1973-09-10,10,9,Q3,1973,1,Monday,September
385,19730320,1973-03-20,20,3,Q1,1973,2,Tuesday,March
386,19740327,1974-03-27,27,3,Q1,1974,3,Wednesday,March
387,19740204,1974-02-04,4,2,Q1,1974,1,Monday,February
388,19741116,1974-11-16,16,11,Q4,1974,6,Saturday,November
389,19741027,1974-10-27,27,10,Q4,1974,7,Sunday,October
390,19740218,1974-02-18,18,2,Q1,1974,1,Monday,February
391,19740117,1974-01-17,17,1,Q1,1974,4,Thursday,January
392,19740714,1974-07-14,14,7,Q3,1974,7,Sunday,July
393,19740825,1974-08-25,25,8,Q3,1974,7,Sunday,August
394,19740915,1974-09-15,15,9,Q3,1974,7,Sunday,September
395,19740331,1974-03-31,31,3,Q1,1974,7,Sunday,March
396,19740407,1974-04-07,7,4,Q2,1974,7,Sunday,April
397,19740122,1974-01-22,22,1,Q1,1974,2,Tuesday,January
398,19740303,1974-03-03,3,3,Q1,1974,7,Sunday,March
399,19740317,1974-03-17,17,3,Q1,1974,7,Sunday,March
400,19740324,1974-03-24,24,3,Q1,1974,7,Sunday,March
401,19741124,1974-11-24,24,11,Q4,1974,7,Sunday,November
402,19740107,1974-01-07,7,1,Q1,1974,1,Monday,January
403,19740211,1974-02-11,11,2,Q1,1974,1,Monday,February
404,19740515,1974-05-15,15,5,Q2,1974,3,Wednesday,May
405,19741013,1974-10-13,13,10,Q4,1974,7,Sunday,October
406,19740512,1974-05-12,12,5,Q2,1974,7,Sunday,May
407,19740708,1974-07-08,8,7,Q3,1974,1,Monday,July
408,19740721,1974-07-21,21,7,Q3,1974,7,Sunday,July
409,19741006,1974-10-06,6,10,Q4,1974,7,Sunday,October
410,19740408,1974-04-08,8,4,Q2,1974,1,Monday,April
411,19741021,1974-10-21,21,10,Q4,1974,1,Monday,October
412,19741104,1974-11-04,4,11,Q4,1974,1,Monday,November
413,19741028,1974-10-28,28,10,Q4,1974,1,Monday,October
414,19731231,1973-12-31,31,12,Q4,1973,1,Monday,December
415,19740819,1974-08-19,19,8,Q3,1974,1,Monday,August
416,19740526,1974-05-26,26,5,Q2,1974,7,Sunday,May
417,19740617,1974-06-17,17,6,Q2,1974,1,Monday,June
418,19740224,1974-02-24,24,2,Q1,1974,7,Sunday,February
419,19740422,1974-04-22,22,4,Q2,1974,1,Monday,April
420,19740121,1974-01-21,21,1,Q1,1974,1,Monday,January
421,19740325,1974-03-25,25,3,Q1,1974,1,Monday,March
422,19740722,1974-07-22,22,7,Q3,1974,1,Monday,July
423,19740513,1974-05-13,13,5,Q2,1974,1,Monday,May
424,19740520,1974-05-20,20,5,Q2,1974,1,Monday,May
425,19740826,1974-08-26,26,8,Q3,1974,1,Monday,August
426,19740723,1974-07-23,23,7,Q3,1974,2,Tuesday,July
